upper_limit lower_limit
3.242928696663606 2.6522699191589525
3.90403834189774 3.2678076639320692
4.920585619689865 4.443632171725767
4.543303479547943 4.021854117713621
85.73230237261251 85.19891359310759
45.814683613914944 45.50738276747745
7.162062403107965 6.764978406121597
6.645831877834379 6.169872705166853
87.57085904674794 87.08867859991709
45.6420827784203 45.315588276142016
83.65252035339155 83.35506796423901
47.913032903844126 47.64844152146426
29.53376597043797 29.411327487981957
16.836910444436125 16.698199783353076
6.952651683847171 6.674955861966003
6.758471908649781 6.423493106512328
2.9408695093218613 2.273029402205376
3.0642418796408624 2.4305405755461247
3.27431226087639 2.638213622658184
3.493146119939472 2.905360589032272
3.2885963659709927 2.707917142511702
3.3614182558205763 2.707917142511702
3.9611394686265182 3.4940771431583904
3.0058167819466868 2.3564557536825212
99.0842047227586 98.60091045892968
79.36338403435312 78.87278605831828

