distance,energy level ,netcount_rate,upper_rate,lower_rate,flux,upper_flux,lower_flux,luminosity,upper_lum,lower_lum,gc_num,gc_upper,gc_lower
0.200576849,0.3,0.119669902,0.504592211,-0.265252408,2.82E-15,1.19E-14,6.25E-15,1.70E+39,7.1528E+39,3.75928E+39,0.034951352,0.034951352,0.066502092
0.240307614,0.3,0.141420199,0.570178614,-0.287338215,3.33E-15,1.34E-14,6.77E-15,2.00E+39,8.07923E+39,4.0721E+39,0.124758803,0.030943527,0.061393348
0.741510962,0.3,0.19152514,0.718796878,-0.335746599,4.51E-15,1.69E-14,7.91E-15,2.71E+39,1.01848E+40,4.7579E+39,0.092103628,0.02454646,0.052544136
0.332774593,0.3,0.164512973,0.642258204,-0.313232258,3.88E-15,9.58E-15,7.38E-15,2.33E+39,5.76255E+39,4.43907E+39,0.107244277,0.043383607,0.056318142
0.28708601,0.3,0.155865579,0.615267051,-0.303535892,3.67E-15,1.45E-14,7.15E-15,2.21E+39,8.71691E+39,4.3013E+39,0.113173086,0.028679888,0.058121898
0.593834941,0.3,0.187331258,0.707235084,-0.332572569,4.41E-15,1.67E-14,7.83E-15,2.65E+39,1.00223E+40,4.71279E+39,0.094169855,0.024944272,0.053047175
0.497361597,0.3,0.18235488,0.693516086,-0.328806326,4.30E-15,1.63E-14,7.75E-15,2.58E+39,9.82984E+39,4.65985E+39,0.096734537,0.025432777,0.053649829
0.48553531,0.3,0.181532922,0.691250094,-0.328184249,4.28E-15,1.63E-14,7.73E-15,2.57E+39,9.79374E+39,4.65082E+39,0.097186991,0.025526509,0.053753922
